date,sampling_session,population,water_access,altitude (m),delta_abundance (%),Tmin,Tmax ,individual_ID,hour,sex,age_class,snout_vent_length (mm),body_mass (g),parturition_date,reproductive_timing,litter_size,litter_mass (g),corticosterone (ng/ml)
5/28/2015,early_summer,CAR,permanent,1047,-64.83,11.61,27.31,1,10:55,F,yearling,46,NA,NA,NA,NA,NA,22.9
5/28/2015,early_summer,CAR,permanent,1047,-64.83,11.61,27.31,4,11:50,F,adult,65,NA,NA,NA,NA,NA,18.73
5/28/2015,early_summer,CAR,permanent,1047,-64.83,11.61,27.31,5,11:55,M,yearling,48,NA,NA,NA,NA,NA,1.52
5/28/2015,early_summer,CAR,permanent,1047,-64.83,11.61,27.31,6,14:27,M,adult,55,NA,NA,NA,NA,NA,18.62
5/28/2015,early_summer,CAR,permanent,1047,-64.83,11.61,27.31,7,15:30,F,yearling,49,NA,NA,NA,NA,NA,8.27
5/28/2015,early_summer,CAR,permanent,1047,-64.83,11.61,27.31,8,15:55,M,yearling,NA,NA,NA,NA,NA,NA,0.7
5/28/2015,early_summer,CAR,permanent,1047,-64.83,11.61,27.31,9,16:00,F,yearling,50,NA,NA,NA,NA,NA,13.65
5/28/2015,early_summer,CAR,permanent,1047,-64.83,11.61,27.31,10,14:30,M,yearling,47,NA,NA,NA,NA,NA,119.42
5/30/2015,early_summer,CAR,permanent,1047,-64.83,11.61,27.31,11,11:00,M,yearling,50,NA,NA,NA,NA,NA,11.19
5/30/2015,early_summer,CAR,permanent,1047,-64.83,11.61,27.31,12,11:15,F,adult,68,NA,NA,NA,NA,NA,20
5/30/2015,early_summer,CAR,permanent,1047,-64.83,11.61,27.31,13,11:25,M,yearling,49,NA,NA,NA,NA,NA,15.92
5/30/2015,early_summer,CAR,permanent,1047,-64.83,11.61,27.31,14,11:35,F,adult,63,NA,NA,NA,NA,NA,21.46
5/30/2015,early_summer,CAR,permanent,1047,-64.83,11.61,27.31,15,11:40,M,yearling,48,NA,NA,NA,NA,NA,10.94
5/30/2015,early_summer,CAR,permanent,1047,-64.83,11.61,27.31,16,11:50,M,adult,57,NA,NA,NA,NA,NA,23.66
5/30/2015,early_summer,CAR,permanent,1047,-64.83,11.61,27.31,17,11:55,M,yearling,55,NA,NA,NA,NA,NA,26.73
5/30/2015,early_summer,CAR,permanent,1047,-64.83,11.61,27.31,18,12:03,M,yearling,49,NA,NA,NA,NA,NA,9.86
5/30/2015,early_summer,CAR,permanent,1047,-64.83,11.61,27.31,19,12:25,F,adult,63,NA,NA,NA,NA,NA,11.32
5/30/2015,early_summer,CAR,permanent,1047,-64.83,11.61,27.31,20,12:50,M,yearling,47,NA,NA,NA,NA,NA,6.65
5/30/2015,early_summer,CAR,permanent,1047,-64.83,11.61,27.31,21,13:20,F,adult,49,NA,NA,NA,NA,NA,27.88
5/30/2015,early_summer,CAR,permanent,1047,-64.83,11.61,27.31,22,13:50,F,adult,66,NA,NA,NA,NA,NA,6.06
5/30/2015,early_summer,CAR,permanent,1047,-64.83,11.61,27.31,23,14:00,M,yearling,47,NA,NA,NA,NA,NA,11.38
5/30/2015,early_summer,CAR,permanent,1047,-64.83,11.61,27.31,24,14:10,F,yearling,45,NA,NA,NA,NA,NA,20.5
5/30/2015,early_summer,CAR,permanent,1047,-64.83,11.61,27.31,25,14:15,F,adult,66,NA,NA,NA,NA,NA,18.44
5/30/2015,early_summer,CAR,permanent,1047,-64.83,11.61,27.31,26,14:15,M,adult,55,NA,NA,NA,NA,NA,10.09
5/30/2015,early_summer,CAR,permanent,1047,-64.83,11.61,27.31,27,14:20,M,yearling,53,NA,NA,NA,NA,NA,25.86
5/30/2015,early_summer,CAR,permanent,1047,-64.83,11.61,27.31,28,14:35,F,adult,47,NA,NA,NA,NA,NA,16.44
5/30/2015,early_summer,CAR,permanent,1047,-64.83,11.61,27.31,29,14:40,M,yearling,47,NA,NA,NA,NA,NA,13.78
5/30/2015,early_summer,CAR,permanent,1047,-64.83,11.61,27.31,30,14:45,F,adult,73,NA,NA,NA,NA,NA,28.2
5/30/2015,early_summer,CAR,permanent,1047,-64.83,11.61,27.31,31,14:50,F,adult,60,NA,NA,NA,NA,NA,17.01
5/30/2015,early_summer,CAR,permanent,1047,-64.83,11.61,27.31,32,14:50,M,adult,60,NA,NA,NA,NA,NA,48.94
5/30/2015,early_summer,CAR,permanent,1047,-64.83,11.61,27.31,33,14:55,F,yearling,50,NA,NA,NA,NA,NA,13.46
5/30/2015,early_summer,CAR,permanent,1047,-64.83,11.61,27.31,35,15:05,F,adult,53,NA,NA,NA,NA,NA,20.03
5/30/2015,early_summer,CAR,permanent,1047,-64.83,11.61,27.31,36,15:15,F,yearling,55,NA,NA,NA,NA,NA,17.29
5/30/2015,early_summer,CAR,permanent,1047,-64.83,11.61,27.31,37,15:18,M,adult,NA,NA,NA,NA,NA,NA,42.78
6/18/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,38,11:08,M,yearling,51,2.7,NA,NA,NA,NA,13.65
6/18/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,39,11:20,F,adult,60.5,3.261,6/28/2015,-10,0,0,53.69
6/18/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,40,11:25,M,yearling,52,3.054,NA,NA,NA,NA,15.69
6/18/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,41,11:28,M,yearling,51,2.756,NA,NA,NA,NA,22.17
6/18/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,42,11:39,F,adult,69,6.713,6/29/2015,-11,10,1.402,64.52
6/18/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,43,11:45,F,adult,68,7.187,7/4/2015,-16,11,1.877,67.4
6/18/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,45,12:10,F,adult,61,3.864,7/9/2015,-21,0,0,31.7
6/18/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,46,12:13,F,yearling,53,2.3,NA,NA,NA,NA,6.55
6/18/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,47,13:25,F,adult,55,2.938,7/18/2015,-30,3,0.38,35.06
6/18/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,48,13:30,F,adult,57,2.611,7/22/2015,-34,1,0.148,25.46
6/18/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,49,13:40,M,yearling,52,3.35,NA,NA,NA,NA,4.44
6/18/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,50,13:40,M,adult,56,3.772,NA,NA,NA,NA,9.81
6/18/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,51,13:55,M,yearling,50,2.85,NA,NA,NA,NA,8.5
6/18/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,52,14:25,M,adult,55,3.485,NA,NA,NA,NA,11.65
6/18/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,53,14:45,M,yearling,52,3.25,NA,NA,NA,NA,4.2
6/18/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,54,15:45,M,yearling,52,3,NA,NA,NA,NA,6.88
6/18/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,55,16:10,M,yearling,52,2.55,NA,NA,NA,NA,7.44
6/18/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,56,16:25,F,yearling,57,3.4,NA,NA,NA,NA,8.59
6/18/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,57,16:30,F,adult,68,7.028,6/30/2015,-12,6,0.794,23.81
6/18/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,58,16:40,F,adult,57,3.259,NA,NA,NA,NA,23.95
6/19/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,59,11:10,F,adult,59,3.659,7/13/2015,-24,3,0.668,29.23
6/19/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,60,11:13,M,yearling,50,3.1,NA,NA,NA,NA,8.21
6/19/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,61,11:15,M,yearling,52,2.45,NA,NA,NA,NA,16.4
6/19/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,62,11:25,M,yearling,50,3.3,NA,NA,NA,NA,2.75
6/19/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,63,11:30,F,adult,62,4.543,6/28/2015,-9,5,0.759,27.62
6/19/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,64,11:45,M,yearling,50,2.7,NA,NA,NA,NA,22.24
6/19/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,65,11:45,F,adult,68,6.936,6/27/2015,-8,9,1.388,22.53
6/19/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,66,12:10,M,yearling,50,2.7,NA,NA,NA,NA,27
6/19/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,67,12:15,M,yearling,49,2.85,NA,NA,NA,NA,17.89
6/19/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,68,12:30,F,adult,57,3.721,7/17/2015,-28,2,0.26,25.17
6/19/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,69,13:15,F,adult,67,6.665,7/1/2015,-12,9,1.407,40.67
6/19/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,70,13:35,M,yearling,50,2.5,NA,NA,NA,NA,34.49
6/19/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,71,13:38,M,yearling,52,3.1,NA,NA,NA,NA,13.15
6/19/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,72,14:00,M,yearling,51,3,NA,NA,NA,NA,6.12
6/19/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,74,14:10,F,yearling,53,2.9,NA,NA,NA,NA,18.76
6/19/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,75,14:10,F,adult,66,6.473,6/28/2015,-9,8,1.285,45.21
6/19/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,76,14:15,F,yearling,55,2.45,NA,NA,NA,NA,65.35
6/19/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,77,14:15,M,adult,58,3.5,NA,NA,NA,NA,33.31
6/19/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,78,14:25,M,adult,53,3.1,NA,NA,NA,NA,10.86
6/19/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,79,15:05,F,yearling,55,3.25,NA,NA,NA,NA,0.67
6/19/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,80,15:45,M,adult,56,3.5,NA,NA,NA,NA,3.12
6/19/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,81,16:00,F,adult,62,4.435,7/6/2015,-17,6,0.832,32.49
6/19/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,82,16:05,F,adult,68,6.651,7/6/2015,-17,8,1.329,78.06
6/19/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,83,16:10,M,yearling,47,2.5,NA,NA,NA,NA,5.91
6/19/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,85,16:25,F,adult,56,3.183,7/7/2015,-18,0,0,17.62
6/19/2015,early_summer,MON,permanent,1049,-66.28,11.42,33.13,86,16:30,M,adult,56,3.7,NA,NA,NA,NA,23.37
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,80,11:00,M,adult,56,3.505,NA,NA,NA,NA,38.73
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,81,11:05,M,yearling,50,1.8,NA,NA,NA,NA,10.88
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,82,11:10,M,adult,56,3.858,NA,NA,NA,NA,21.16
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,83,11:15,F,adult,61,4.527,7/8/2015,-19,3,0.542,66.98
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,84,11:20,F,adult,62,4.807,7/12/2015,-23,5,1.008,92.91
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,85,11:25,F,adult,58,3.711,7/13/2015,-24,2,0.374,51.24
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,86,11:30,F,adult,55,3.466,7/15/2015,-26,4,0.503,40.36
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,87,11:35,M,adult,56,3.883,NA,NA,NA,NA,1.65
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,SV1,12:00,F,yearling,48,1.6,NA,NA,NA,NA,13.39
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,90,12:05,F,adult,54,3.424,7/8/2015,-19,2,0.345,47.7
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,91,12:05,M,adult,53,3.335,NA,NA,NA,NA,15.86
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,92,12:10,F,adult,58,3.189,7/17/2015,-28,0,0,34.77
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,93,12:10,F,adult,63,5.616,7/14/2015,-25,8,1.375,27.65
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,SV2,12:15,M,yearling,40,1.7,NA,NA,NA,NA,13.34
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,SV3,12:15,M,yearling,41,1.6,NA,NA,NA,NA,34.03
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,SV4,12:20,M,yearling,43,1.7,NA,NA,NA,NA,13.56
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,94,12:45,F,adult,60,4.28,7/12/2015,-23,4,0.676,46.72
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,95,12:45,F,adult,60,4.21,NA,NA,NA,NA,26.24
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,96,12:50,M,adult,55,3.722,NA,NA,NA,NA,21.55
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,SV5,12:50,M,yearling,45,2,NA,NA,NA,NA,23.95
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,SV6,12:55,M,yearling,45,2,NA,NA,NA,NA,9.19
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,SV7,13:00,F,yearling,44,1.6,NA,NA,NA,NA,21.81
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,97,13:00,F,adult,58,4.156,7/15/2015,-26,6,0.816,50.03
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,98,13:05,M,adult,53,3.549,NA,NA,NA,NA,9.13
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,99,13:10,F,adult,64,5.426,7/11/2015,-22,4,0.717,41.47
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,SV8,13:15,M,yearling,41,1.5,NA,NA,NA,NA,24.6
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,SV9,13:20,M,yearling,42,1.6,NA,NA,NA,NA,39.74
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,SV10,13:25,F,yearling,47,1.8,NA,NA,NA,NA,28.28
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,100,13:30,F,adult,56,3.292,NA,NA,NA,NA,55.05
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,101,13:30,F,adult,57,3.62,NA,NA,NA,NA,73.8
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,SV11,13:40,M,yearling,47,2.4,NA,NA,NA,NA,29.46
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,SV12,14:10,M,yearling,40,1.5,NA,NA,NA,NA,17.82
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,SV13,14:20,M,yearling,46,2.3,NA,NA,NA,NA,19.22
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,102,14:25,F,adult,62,4.624,7/7/2015,-18,6,1.041,52.11
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,103,14:30,F,adult,60,3.365,7/22/2015,-33,0,0,46.37
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,104,14:35,F,adult,61,5.105,7/8/2015,-19,5,0.878,65.13
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,105,14:35,M,adult,45,2.616,NA,NA,NA,NA,24.59
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,SV15,14:40,F,yearling,51,2.4,NA,NA,NA,NA,33.17
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,SV16,14:55,M,yearling,41,1.6,NA,NA,NA,NA,22.73
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,106,15:00,M,adult,59,4.647,NA,NA,NA,NA,33.54
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,SV17,15:10,M,yearling,48,2.7,NA,NA,NA,NA,39.69
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,SV18,15:15,F,yearling,52,2.6,NA,NA,NA,NA,59.03
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,108,15:20,F,adult,53,3.081,7/15/2015,-26,6,0.701,58.62
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,109,15:25,F,adult,62,5.182,7/12/2015,-23,7,1.116,49.04
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,110,15:30,F,adult,62,4.92,7/7/2015,-18,5,1.03,33.93
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,111,15:33,M,adult,57,4.011,NA,NA,NA,NA,9.77
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,112,15:36,F,adult,61,4.833,7/8/2015,-19,5,1.033,39.44
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,113,15:40,M,adult,51,2.827,NA,NA,NA,NA,15.79
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,114,15:45,M,adult,58,4.536,NA,NA,NA,NA,20.98
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,115,16:10,F,adult,53,2.758,7/8/2015,-19,4,0.686,33.15
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,116,16:13,F,adult,55,2.678,NA,NA,NA,NA,34.13
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,117,16:16,F,adult,58,3.989,7/11/2015,-22,3,0.537,40.53
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,119,16:22,F,adult,57,3.298,7/9/2015,-20,0,0,16.28
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,120,16:26,F,adult,56,3.07,7/20/2015,-31,2,0.221,44.22
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,121,16:30,F,adult,56,3.58,NA,NA,NA,NA,23.09
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,122,16:40,F,adult,54,3.889,7/13/2015,-24,3,0.624,36.31
6/19/2015,early_summer,VIA,permanent,1141,30.43,8.53,35.45,123,16:45,F,adult,55,3.368,7/17/2015,-28,4,0.593,16.04
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,130,10:40,F,adult,62,5.141,7/15/2015,-25,9,1.369,43.93
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,131,10:45,M,adult,52,3.009,NA,NA,NA,NA,3.78
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,132,10:48,M,adult,54,3.487,NA,NA,NA,NA,15.56
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,SBL1,10:55,M,yearling,42,1.6,NA,NA,NA,NA,33.16
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,133,10:55,F,adult,65,7.073,7/9/2015,-19,9,1.769,55.1
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,SBL2,10:55,F,yearling,47,1.85,NA,NA,NA,NA,60.24
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,134,11:05,M,adult,55,3.803,NA,NA,NA,NA,17.87
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,135,11:15,F,adult,62,5.239,7/13/2015,-23,7,1.064,53.12
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,136,11:15,F,adult,63,4.84,7/11/2015,-21,4,0.733,44.9
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,138,11:20,F,adult,67,6.322,7/8/2015,-18,8,1.497,40.51
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,SBL3,11:25,M,yearling,42,1.85,NA,NA,NA,NA,14.78
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,SBL4,11:35,F,yearling,42,2,NA,NA,NA,NA,10.26
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,139,11:35,F,adult,64,5.181,7/9/2015,-19,5,0.851,33.7
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,SBL5,11:44,F,yearling,45,1.5,NA,NA,NA,NA,13.99
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,140,11:48,M,adult,56,3.987,NA,NA,NA,NA,19.37
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,141,11:54,F,adult,64,4.397,7/17/2015,-27,4,0.688,55.81
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,SBL6,11:58,F,yearling,46,1.65,NA,NA,NA,NA,36.36
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,SBL7,12:00,M,yearling,43,1.9,NA,NA,NA,NA,8.41
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,142,12:05,F,adult,55,2.83,NA,NA,NA,NA,12.7
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,143,12:10,M,adult,52,3.632,NA,NA,NA,NA,10.44
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,SBL8,12:14,M,yearling,46,2.15,NA,NA,NA,NA,11.54
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,144,12:15,F,adult,62,5.141,7/14/2015,-24,8,1.156,18.8
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,145,12:20,F,adult,59,3.78,7/13/2015,-23,6,0.992,19.39
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,146,12:20,M,adult,55,4.383,NA,NA,NA,NA,6.84
